,city,state,country,latitude,longitude
0,Longyearbyen,Svalbard,Svalbard and Jan Mayen,78.22317220000001,15.6267229
1,Bredasdorp,Western Cape,South Africa,-34.5385222,20.0568771
2,Weligama,Southern Province,Sri Lanka,5.9773782,80.4288487
3,Victoria,Texas,United States,28.8052674,-97.0035982
4,Torquay,England,United Kingdom,50.4619209,-3.525315
5,Hermanus,Western Cape,South Africa,-34.4092004,19.2504436
6,Jamestown,Virginia,United States,37.2116383,-76.7752102
7,Tumanny,Murmansk Oblast,Russia,68.878911,35.6675264
8,Lilongwe,Central Region,Malawi,-13.9626121,33.7741195
9,10808,Oklahoma,United States,36.0603092,-95.8561644
10,Kharan,Balochistan,Pakistan,28.5855301,65.416342
11,Ittoqqortoormiit,Sermersooq Municipality,Greenland,70.48556909999999,-21.9628757
12,Ushuaia,Tierra del Fuego Province,Argentina,-54.8019121,-68.3029511
13,Albany,New York,United States,42.6525793,-73.7562317
14,800,District of Columbia,United States,38.8996313,-77.04094479999999
15,Kavaratti,Lakshadweep,India,10.5593204,72.63581340000002
16,Ikungi,Singida Region,Tanzania,-5.1359194,34.7699362
17,Laguna Beach,California,United States,33.5427189,-117.7853568
18,Ponta Do Sol,Madeira,Portugal,32.6854883,-17.0864266
19,Mayumba,Nyanga,Gabon,-3.4426092,10.6562606
20,Gqeberha,Eastern Cape,South Africa,-33.9608369,25.6022423
21,Tasiilaq,Sermersooq Municipality,Greenland,65.6134561,-37.6335696
22,Cape Town,Western Cape,South Africa,-33.9248685,18.4240553
23,Glace Bay,Nova Scotia,Canada,46.1969191,-59.9570044
24,Bonfim,Porto,Portugal,41.1510153,-8.5940618
25,Belushya Guba,Arkhangelsk Oblast,Russia,71.53903389999999,52.3381368
26,Arraial do Cabo,State of Rio de Janeiro,Brazil,-22.9673373,-42.0268099
27,3145,California,United States,38.5690727,-121.4656711
28,Qaanaaq,Qaasuitsup Municipality,Greenland,77.4670434,-69.2284827
29,East London,England,United Kingdom,51.55633,0.0655092
30,77,Massachusetts,United States,42.365002,-71.058003
31,Barentsburg,Svalbard,Svalbard and Jan Mayen,78.0648475,14.2334597
32,11270,Michigan,United States,42.0380516,-83.37902059999999
33,Sao Filipe,Sao Filipe,Cape Verde,14.8951679,-24.4945636
34,Penzance,England,United Kingdom,50.118798,-5.537592
